901,Eurotrip,2004,Jeff Schaffer,,
905,Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,,
907,Bicentennial Man,1999,Chris Columbus,,
908,Lord of the Rings: The Return of the King,2003,Peter Jackson,,
910,Spider Man 2,2004,Sam Raimi,,
921,Smallville: Season 3,2004,Alfred Gough,,
925,The Majestic,2001,Frank Darabont,,
926,Insomnia,2002,Christopher Nolan,,
927,Lord of the Rings: The Two Towers,2002,Peter Jackson,,
928,Daredevil,2003,Mark Steven Johnson,,
929,Spider Man,2002,Sam Raimi,,
48011,The Phantom of the Opera,2004,Joel Schumacher,,
135001,12 Monkeys,1995,Terry Gilliam,,
135002,Blade Runner,1982,Ridley Scott,,
135004,The Usual Suspects,1995,Bryan Singer,,
135005,Zoolander,2001,Ben Stiller,,
135006,The Life Aquatic,2004,Wes Anderson,,
135007,The Lost Boys,1987,Joel Schumacher,,
135009,The Royal Tenenbaums,2001,Wes Anderson,,
135011,A Nightmare On Elm Street,1984,Wes Craven,,
135012,Dumb and Dumber,1994,Peter Farrelly,,
135013,Elf,2003,Jon Favreau,,
135014,Monty Python and the Holy Grail,1975,Terry Jones,,
140001,Bourne Identity,2004,Doug Liman,,
140003,Mr. and Mrs. Smith,2005,Doug Liman,,
140004,Gone in 60 Seconds,2000,Dominic Sena,,
140009,Bride and Prejudice,2005,Gurinder Chadha,,
140010,The Hunted,2003,William Friedkin,,
150001,Charlie and the Chocolate Factory,2005,Tim Burton,,
150002,Are We There Yet,2005,Brian Levant,,
150003,Beautiful Boxer,2005,Ekachai Uekrongtham,,
150004,Alone in the Dark ,2005,Uwe Boll,,
150005,Hide and Seek,2005,John Polson,,
150006,Coach Carter,2005,Thomas Carter,,
150008,Racing Stripes,2005,Frederik Du Chau,,
150009,Kingdom of Heaven,2005,Ridley Scott,,
150010,Alexander,2005,Oliver Stone,,
156001,Aviator,2004,Martin Scorsese,,
156003,Love the Hard Way,2001,Peter Sehr,,
156005,The Terminator,1984,James Cameron,,
156006,Jurassic Park,1993,Steven Spielberg,,
156008,Snatch,2000,Guy Ritchie,,
217002,The New World,2005,Terrence Malick,,
217003,Hide And Seek,2005,John Polson,,
217005,Racing Stripes,2005,Frederik Du Chau,,
217006,Cinderella Man,2005,Ron Howard,,
217007,The Ring 2,2005,Hideo Nakata,,
217008,Robots,2005,Chris Wedge,,
217009,Son Of The Mask,2005,Larry Guterman,,
217010,Kingdom Of Heaven,2005,Ridley Scott,,
217011,Bride And Prejudice,2004,Gurinder Chadha,,
217012,Miss Congeniality 2: ARMED AND FABULOUS,2005,John Pasquin,,
217013,Swimming Upstream,2003,Russell Mulcahy,,
217014,Cube Zero,2004,Ernie Barbarash,,
217015,Unleashed,2005,Louis Leterrier,,
217016,Spiderman 2,2005,Sam Raimi,,
217017,Hitch,2005,Andy Tennant,,
217018,Million Dollar Baby,2005,Clint Eastwood,,
217019,The Machinist,2005,Brad Anderson,,
217020,Alexander,2004,Oliver Stone,,
259001,About A Boy,2002,Chris Weitz,,
259003,Hero,2002,Yimou Zhang,,
259004,Lost In Translation,2003,Sofia Coppola,,
259005,Wonder Boys,2000,Curtis Hanson,,
259006,Before Sunrise,1995,Richard Linklater,,
259008,Requiem For a Dream,2000,Darren Aronofsky,,
326002,Godsend,2004,Nick Hamm,,
326004,Along Came Polly,2004,John Hamburg,,
326005,Bruce Almighty,2003,Tom Shadyac,,
326006,Lemony Snicket's A Series of Unfortunate Events,2004,Brad Silberling,,
326008,Birth,2004,Jonathan Glazer,,
412002,Snatch.,2000,Guy Ritchie,,
412004,X2,2003,Bryan Singer,,
412005,The Merchant of Venice,2004,Michael Radford,,
412007,Vanilla Sky,2001,Cameron Crowe,,
412008,White Noise,2005,Geoffrey Sax,,
422102,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,,
422103,Le Fabuleux destin dAm?ie Poulain,2001,Jean-Pierre Jeunet,,
422104,Ghost World,2004,Terry Zwigoff,,
422105,Girl with a Pearl Earring,2003,Peter Webber,,
422106,I Heart Huckabees,2004,David O. Russell,,
422108,Donnie Darko,2001,Richard Kelly,,
422109,The Princess Bride,1987,Rob Reiner,,
422110,Vampire Effect,2003,Dante Lam,,
490003,Hostage,2005,Florent Emilio Siri,,
490006,Cold Mountain,2003,Anthony Minghella,,
490008,The Sound of Music,1965,Robert Wise,,
490010,Walk in the Clouds,1995,Alfonso Arau,,
490011,Traffic,2000,Steven Soderbergh,,
490012,Pretty Woman,1990,Gary Marshall,,
490015,Notting Hill,1999,Roger Michell,,
490016,Stepmom,1998,Chris Columbus,,
492002,The Lord of the Rings: The Return of the King,2003,Peter Jackson,,
492003,The Lord of the Rings: The Two Towers,2002,Peter Jackson,,
492006,In Good Company,2004,Paul Weitz,,
492009,Hotel Rwanda,2004,Terry George,,
525001,Dr. No,1962,Terence Young,,
525002,From Russia with Love,1963,Terence Young,,
525003,Goldfinger,1964,Guy Hamilton,,
525004,Thunderball,1965,Terence Young,,
525005,You Only Live Twice,1967,Lewis Gilbert,,
525006,On Her Majestys Secret Service,1969,Peter R. Hunt,,
525007,Diamonds are Forever,1971,Guy Hamilton,,
525008,Live and Let Die,1973,Guy Hamilton,,
525009,The Man with the Golden Gun,1974,Guy Hamilton,,
525010,The Spy Who Loved Me,1977,Lewis Gilbert,,
525011,Moonraker,1979,Lewis Gilbert,,
525012,For Your Eyes Only,1981,John Glen,,
525013,Octopussy,1983,John Glen,,
525014,A View to a Kill,1985,John Glen,,
525015,The Living Daylights,1987,John Glen,,
525016,Licence to Kill,1989,John Glen,,
525017,GoldenEye,1995,Martin Campbell,,
525018,Tomorrow Never Dies,1997,Roger Spottiswoode,,
525019,The World is Not Enough,1999,Michael Apted,,
525020,Die Another Day,2002,Lee Tamahori,,
631001,Roman Holiday,1953,William Wyler,,
631002,Breakfast at Tiffany's,1961,Blake Edwards,,
631003,Anna and the King,1999,Andy Tennant,,
631004,Gone with the Wind,1939,Victor Flemming\, George Cukor\, Sam Wood
631005,Home Alone,1990,Chris Columbus,,
631006,Home Alone 2: Lost in New York,1992,Chris Columbus,,
631008,City Light,1931,Charles Chaplin,,
631009,Shogun,1980,Jerry London,,
631010,License To Kill,1989,John Glen,,
634002,The Matrix Reloaded,2003,Wachowski Brothers,,
634003,The Matrix Revolutions,2003,Wachowski Brothers,,
634004,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,,
634005,The Lord of the Rings: The Two Towers,2002,Peter Jackson,,
634006,The Lord of the Rings: The Return of the King,2003,Peter Jackson,,
634007,Crouching Tiger Hidden Dragon,2000,Ang Lee,,
634008,You Got Served,2004,Christopher B. Stokes,,
634009,Ocean's Eleven,2001,Steven Soderbergh,,
658001,Titanic,1997,James Cameron,,
658003,American Beauty,1999,Sam Mendes,,
658004,Shakespeare in Love,1998,John Madden,,
658006,Mystic River,2003,Clint Eastwood,,
658008,Catch Me If You Can,2002,Steven Spielberg,,
658009,8 Mile,2002,Curtis Hanson,,
671001,Alien,1979,Ridley Scott,,
671002,Aliens,1986,James Cameron,,
671003,Alien3,1992,David Fincher,,
671004,Bowling for Columbine,2002,Michael Moore,,
671006,Braveheart,1995,Mel Gibson,,
671007,Saving Private Ryan,1998,Steven Spielberg,,
671009,The Mask,1994,Chuck Russell,,
671010,Dogma,1999,Kevin Smith,,
671011,Starship Troopers,1997,Paul Verhoeven,,
671013,Men In Black,1997,Barry Sonnenfeld,,
671014,Men in Black II,2002,Barry Sonnenfeld,,
671015,The Mummy,1999,Stephen Sommers,,
671016,The Mummy Returns,2001,Stephen Sommers,,
671017,Blast From the Past,1999,Hugh Wilson,,
671019,Indiana Jones and the Temple of Doom,1984,Steven Spielberg,,
671020,Indiana Jones and the Last Crusade,1989,Steven Spielberg,,
683001,The Godfather,1972,Francis Ford Coppola,,
683002,Scarface,1983,Brian De Palma,,
683003,Boiler Room,2000,Ben Younger,,
683004,Driven,2001,Renny Harlin,,
683005,Any Given Sunday,1999,Oliver Stone,,
683006,Oceans Eleven,1995,Steven Soderbergh,,
683007,The Fast and the Furious,2001,Rob Cohen,,
683008,Barbershop,2002,Tim Story,,
683009,Black Hawk Down,2002,Ridley Scott,,
693000,The Aviator,2004,Martin Scorsese,,
693001,Elektra,2005,Rob Bowman,,
693003,Ocean's Twelve,2004,Steven Soderbergh,,
693004,The Goonies,1985,Richard Donner,,
693005,Coach Carter,2005,Thomas Carter,,
693006,Assault on Precinct 13,2005,Jean-Fran?is Richet,,
693007,Forrest Gump,1994,Robert Zemeckis,,
693008,Independence Day,1996,Roland Emmerich,,
693009,The Sixth Sense,1999,M. Night Shyamalan,,
755001,Amelie,2001,Jean-Pierre Jeunet,,
755003,Garden State,2004,Zach Braff,,
755004,Hero,2004,Zhang Yimou,,
755005,Moulin Rouge,2001,Baz Luhrmann,,
755006,Oceans Eleven,2001,Steven Soderbergh,,
755007,Raiders Of The Lost Ark,1981,Steven Spielberg,,
755008,Seven,1995,David Fincher,,
755009,Shrek,2001,Andrew Adamson Vicky Jenson,,
755010,Terminator 2,1991,James Cameron,,
755012,The Matrix,1999,Wachowski Brothers,,
755013,White Chicks,2004,Keenan Ivory Wayans,,
755014,Star Wars: Episode I,1999,George Lucas,,
764001,The Village,2004,M. Night Shyamalan,,
764002,Troy,2004,Wolfgang Peterson,,
764003,National Treasure,2004,Jon Turteltaub,,
764004,Spider-Man 2,2004,Sam Raimi,,
764005,The Incredibles,2004,Brad Bird,,
764007,The Polar Express,2004,Robert Zemeckis,,
764008,Hellboy,2004,Guillermo del Toro,,
764009,50 First Dates,2004,Peter Segal,,
764010,Oceans Twelve,2004,Steven Soderbergh,,
788001,When Harry Met Sally,1989,Rob Reiner,,
788002,Being Human,1994,Bill Forsyth,,
788003,American History X,1998,Tony Kaye,,
788004,Bone Collector,1999,Phillip Noyce,,
788005,Good Will Hunting,1997,Gus Van Sant,,
788007,Ride With the Devil,1999,Ang Lee,,
788008,Master and Commander: The Far Side of the World,2003,Peter Weir,,
788009,The Others,2001,Alejandro Amenabar,,
788010,Love Actually,2003,Richard Curtis,,
788011,Fahrenheit 9/11,2004,Michael Moore,,
788012,Almost Famous,2000,Cameron Crowe,,
788013,A Beautiful Mind,2001,Ron Howard,,
788014,Proof of Life,2000,Taylor Hackford,,
788015,Philadelphia,1993,Jonathan Demme,,
788016,Courage Under Fire,1996,Edward Zwick,,
788017,You've Got Mail,1998,Nora Ephron,,
788018,The terminal,2004,Steven Spielberg,,
855001,Rush Hour 2,2001,Brett Ratner,,
855002,The Fifth Element,1997,Luc Besson,,
855003,Shall We Dance,2004,Peter Chelsom,,
855004,Runaway Bride,1999,Garry Marshall,,
855005,Ocean Twelve,2004,Steven Soderbergh,,
855006,Intolerable Cruelty,2003,Joel Coen,,
855007,Finding Neverland,2004,Marc Forster,,
855008,Sleepy Hollow,1999,Tim Burton,,
855009,External Sunshine of the Spotless Mind,2004,Michel Gondry,,
872001,Catwoman,2004,Pitof,,
872002,Are We There Yet,2005,Brian Levant,,
872003,Meet the Fockers,2004,Jay Roach,,
872004,Dodgeball: A True Underdog Story,2004,Rawson Marshall Thurber,,
872005,Starsky & Hutch,2004,Todd Phillips,,
872006,Training Day,2001,Antonie Fuqua,,
872007,Man on Fire,2001,Tony Scott,,
872008,The Stepford Wives,2004,Frank Oz,,
872009,Eyes Wide Shut,1999,Stanley Kubrick,,
872010,Collateral,2004,Michael Mann,,
872011,Ray,2004,Taylor Hackford,,
872012,Bad Company,2002,Joel Schumacher,,
907000,One Eight Seven,1997,Kevin Reynolds,,
907001,Thir13en Ghosts,2001,Steve Beck,,
907002,24 Hour Party People,2002,Michael Winterbottom,,
907003,2001: A Space Odyssey,1968,Stanley Kubrick,,
907004,A Clockwork Orange,1971,Stanley Kubrik,,
907005,3000 Miles to Graceland,2001,Demian Lichtenstein,,
907006,The Affair of the Necklace,2001,Charles Shyer,,
907007,Batman Begins,2005,Christopher Nolan,,
907008,All or Nothing,2002,Mike Leigh,,
907009,All Over Me,1997,Alex Sichel,,
